id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,11797,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19779659.0,19779659.0,False,,1,,,,2024-11-08T23:49:00.000Z,76519.68633131051,55309873276.22494,-12.7735,0.08364729,0.60683225,10.17735727,26.17096369,33.95859599,25.73460201,1513533302420.283,58.5906,1606913412957.52,,2024-11-08T23:49:00.000Z,,,,,,2024-11-08 15:51:03.432661
1027,Ethereum,ETH,ethereum,9496,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120420137.42596878,120420137.42596878,True,,2,,,,2024-11-08T23:49:00.000Z,2958.241571641098,32350059238.395004,-8.3676,-0.02004328,1.99684343,17.76517337,24.90400817,25.16878762,13.4911695,356231856596.23486,13.7901,356231856596.23,,2024-11-08T23:49:00.000Z,,,,,,2024-11-08 15:51:03.432661
825,Tether USDt,USDT,tether,102687,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,121953737784.44606,122836276400.68143,True,,3,,,,2024-11-08T23:49:00.000Z,1.0005559747610018,102262516782.04431,-9.5976,-0.00197753,-0.01905457,0.10869632,0.14349444,0.03251361,0.03575556,122021540984.66405,4.7231,122904570270.1,,2024-11-08T23:49:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-11-08 15:51:03.432661
5426,Solana,SOL,solana,779,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,471675669.8073656,588092243.8797209,True,,4,,,,2024-11-08T23:49:00.000Z,199.88747677234758,5675168042.360854,20.9165,0.53756488,1.88682526,20.25808312,43.35266346,48.04224676,29.92649067,94282059492.70128,3.6495,117552274738.51,,2024-11-08T23:49:00.000Z,,,,,,2024-11-08 15:51:03.432661
1839,BNB,BNB,bnb,2274,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144099503.30320057,144099503.30320057,False,,5,,,,2024-11-08T23:49:00.000Z,597.2947528924606,1873595303.7363439,-4.8433,0.1788418,-0.29132353,4.33838732,4.68311045,14.94789047,14.11770684,86069877217.41148,3.3317,86069877217.41,,2024-11-08T23:49:00.000Z,,,,,,2024-11-08 15:51:03.432661
3408,USDC,USDC,usd-coin,22913,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,37188016366.87872,37188016366.87872,False,,6,,,,2024-11-08T23:49:00.000Z,0.9997894128891727,9908660695.32584,-13.751,-0.00332724,-0.01960126,-0.01535484,-0.01364599,-0.01877375,-0.01584214,37180185049.95462,1.4391,37180185049.95,,2024-11-08T23:49:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-11-08 15:51:03.432661
52,XRP,XRP,xrp,1414,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56868662755.0,99987041380.0,False,,7,,,,2024-11-08T23:49:00.000Z,0.5536742430931072,1494901210.083912,-20.8886,-0.00984421,-0.25180666,7.95522928,5.47048818,2.52619068,-5.46248308,31486713806.5918,1.2188,55367424309.31,,2024-11-08T23:49:00.000Z,,,,,,2024-11-08 15:51:03.432661
74,Dogecoin,DOGE,dogecoin,1093,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146711956383.70517,146711946383.70523,True,,8,,,,2024-11-08T23:49:00.000Z,0.201828745725453,4079333099.2986946,-6.5431,-0.63037607,4.20816955,26.80187277,86.74090471,94.17125233,92.07750585,29610690139.850582,1.1461,29610688121.56,,2024-11-08T23:49:00.000Z,,,,,,2024-11-08 15:51:03.432661
2010,Cardano,ADA,cardano,1332,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35002992145.92666,44994999104.86697,False,,9,,,,2024-11-08T23:49:00.000Z,0.4444505969352055,1448159960.9469132,137.4508,-0.01706352,10.41679698,24.57669546,30.82649174,29.30468874,28.31271847,15557100753.775414,0.6022,20000276862.08,,2024-11-08T23:49:00.000Z,,,,,,2024-11-08 15:51:03.432661
1958,TRON,TRX,tron,1064,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86421800273.257,86421795349.85371,True,,10,71659659264.0,11534056535.58134,,2024-11-08T23:49:00.000Z,0.16095606166768028,307151783.141634,-31.621,-0.09604293,0.34852007,-3.79644111,0.30837553,4.17801283,24.62508042,13910112614.214304,0.5384,13910111821.76,,2024-11-08T23:49:00.000Z,,,,,,2024-11-08 15:51:03.432661
